zip,Zipcode name,City,State,County Name
42201,"ABERDEEN, KY",ABERDEEN,KY,BUTLER
42202,"ADAIRVILLE, KY",ADAIRVILLE,KY,LOGAN
41201,"ADAMS, KY",ADAMS,KY,LAWRENCE
42120,"ADOLPHUS, KY",ADOLPHUS,KY,ALLEN
42602,"ALBANY, KY",ALBANY,KY,CLINTON
41001,"ALEXANDRIA, KY",ALEXANDRIA,KY,CAMPBELL
41601,"ALLEN, KY",ALLEN,KY,FLOYD
42204,"ALLENSVILLE, KY",ALLENSVILLE,KY,TODD
42020,"ALMO, KY",ALMO,KY,CALLOWAY
42603,"ALPHA, KY",ALPHA,KY,CLINTON
42122,"ALVATON, KY",ALVATON,KY,WARREN
40402,"ANNVILLE, KY",ANNVILLE,KY,JACKSON
41121,"ARGILLITE, KY",ARGILLITE,KY,GREENUP
40902,"ARJAY, KY",ARJAY,KY,BELL
42021,"ARLINGTON, KY",ARLINGTON,KY,CARLISLE
40903,"ARTEMUS, KY",ARTEMUS,KY,KNOX
41712,"ARY, KY",ARY,KY,PERRY
41512,"ASHCAMP, KY",ASHCAMP,KY,PIKE
40803,"ASHER, KY",ASHER,KY,LESLIE
41101,"ASHLAND, KY",ASHLAND,KY,BOYD
41102,"ASHLAND, KY",ASHLAND,KY,BOYD
41105,"ASHLAND, KY",ASHLAND,KY,BOYD
41114,"ASHLAND, KY",ASHLAND,KY,BOYD
42206,"AUBURN, KY",AUBURN,KY,LOGAN
41002,"AUGUSTA, KY",AUGUSTA,KY,BRACKEN
42123,"AUSTIN, KY",AUSTIN,KY,BARREN
41602,"AUXIER, KY",AUXIER,KY,FLOYD
41713,"AVAWAM, KY",AVAWAM,KY,PERRY
40003,"BAGDAD, KY",BAGDAD,KY,SHELBY
42022,"BANDANA, KY",BANDANA,KY,BALLARD
41603,"BANNER, KY",BANNER,KY,FLOYD
40906,"BARBOURVILLE, KY",BARBOURVILLE,KY,KNOX
40004,"BARDSTOWN, KY",BARDSTOWN,KY,NELSON
42023,"BARDWELL, KY",BARDWELL,KY,CARLISLE
42024,"BARLOW, KY",BARLOW,KY,BALLARD
40104,"BATTLETOWN, KY",BATTLETOWN,KY,MEADE
40806,"BAXTER, KY",BAXTER,KY,HARLAN
41714,"BEAR BRANCH, KY",BEAR BRANCH,KY,LESLIE
41311,"BEATTYVILLE, KY",BEATTYVILLE,KY,LEE
42124,"BEAUMONT, KY",BEAUMONT,KY,METCALFE
41203,"BEAUTY, KY",BEAUTY,KY,MARTIN
41604,"BEAVER, KY",BEAVER,KY,FLOYD
42320,"BEAVER DAM, KY",BEAVER DAM,KY,OHIO
40006,"BEDFORD, KY",BEDFORD,KY,TRIMBLE
42207,"BEE SPRING, KY",BEE SPRING,KY,EDMONSON
42321,"BEECH CREEK, KY",BEECH CREEK,KY,MUHLENBERG
42322,"BEECH GROVE, KY",BEECH GROVE,KY,MCLEAN
